NameofOrganisation,Latitude,Longitude
Amengernterneah,-21.89767,134.84166
Morris Gap,-24.11251,131.43922
Motna's,-23.94973611,132.7694583
Mpwetyerre,-23.71679167,133.874125
Mount Barkly,-21.61391,132.44114
Kurippi,-22.14211,132.05316
Mount Liebig,-23.26605,131.27319
Mount Nancy,-23.66751389,133.8700139
Karrinyarra,-22.66329,131.87876
Putulu,-21.34382,131.36997
Mulga Bore,-22.45139,134.20944
Wanarkula,-25.99663,131.58803
Mutitjulu,-25.3523,131.0667
New Bore,-23.22172,131.32769
Yuwerli,-22.03566,131.65064
Nguman,-23.54219,129.75694
Ngkwarlerlanem,-21.72741,134.79113
Nturiya,-22.12379,133.26529
Adelaide Bore,-22.21485,133.93607
Alyuen,-22.66949,133.35147
Akngwertnarre,-23.6928,133.8612
Pantyinteme,-24.45011,133.11207
Mt Eaglebeak,-22.9564,135.19891
Lizard Bore,-23.30034,131.13465
Murranji,-16.83598,132.8107
Pertarratenge,-24.41326,133.31956
Petyale,-21.99972,133.43363
Rutjingka,-23.91581,132.81527
Yulara Pulka,-25.25455,130.89108
Yalukun,-12.26251389,136.0058472
Bardalumba,-13.82445,136.4489
Gulngarring,-13.13876,131.09811
Wurankuwu,-11.61652,130.27763
Ngarnka,-20.17566,129.90876
Katjutari,-23.74084722,132.0047361
Luntharra,-23.73543,132.04497
Merral Ntarrakala,-23.91418,132.82865
Natjitnama,-24.021125,132.981125
Rarangantjuta,-23.98488,133.14814
Mount Twellar,-23.54198,133.62279
Wataru,-24.85858,129.05936
Oondaloo,-24.88715,129.06454
Milmilngkan,-12.52316,134.24731
Lake Katherine,-14.27374,135.06805
Gunbalanya,-12.324,133.056
Palmerston Indigenous Village,-12.48809722,131.0116806
Nganmarriyanga,-14.351111,129.87889
Perrederr,-14.01963,129.82661
Paru,-11.74982,130.64642
Patonga (Airstrip),-12.94826,132.56901
Peppimenarti,-14.1503,130.0763
Pirlangimpi,-11.4059,130.4172
Railway Dam,-12.45404167,130.8439028
Spring Peak,-12.96266,132.45424
Tree Point,-12.30839,131.01819
Taracumbi,-11.60806,130.71131
Wadeye,-14.2404,129.5205
Amangal Indigenous Village,-13.2445,131.1041
Waminari,-11.768607,133.39754
Warruwi,-11.64896,133.38935
Ngardinitchi,-14.19288,129.48431
Wigu,-11.61353,133.43225
Wilgi,-11.49601,132.74947
Woodycupaldiya,-13.85926,130.00115
Wudapuli,-14.21351,129.85315
Alkipi,-23.27356,131.82924
Red Sandhill,-24.00973611,132.8527917
Alpara,-25.91526,131.21242
Injulkama,-23.07626,133.10673
Amoonguna,-23.76631944,133.9359861
Ampilatwatja,-21.65664,135.22509
Amputjuta,-24.92956,129.12287
Angula,-22.55781,134.21675
Angas Downs,-25.03447,132.27377
Anningie,-21.83473,133.14445
Indaringinya,-21.67707,134.71992
Anthelk Ewlpaye,-23.68979167,133.8793194
Anthepe,-23.7575,133.8655
Sugar Creek,-23.94973611,132.573625
Aper Alwerrknge,-23.66834722,133.8708472
Areyonga,-24.073612,132.27083
Arrkapa,-23.98248,132.82937
Artekerr,-22.29022,134.54312
Atnwengerrpe,-21.86956,134.99411
Utily,-23.48877,131.87319
Blackwater,-23.26181,131.89688
Orrtipa-Thurra,-22.784582,136.16829
Atneltyey,-22.03683,134.61166
Mala,-21.69494,130.85331
Town Bore,-23.35473,132.06416
Gupanga,-12.0752,134.5843
Gurrgurr,-12.20644,134.00904
Nyirripi,-22.6505,130.5532
Nyewente,-23.68779167,133.8628472
Papunya,-23.203056,131.9111
Phillipson Bore,-24.09593,134.43038
Pine Hill,-22.37949,133.05366
Pinpirnga,-23.16275,129.46322
Pmara Jutunta,-22.20878,133.43073
Pulardi,-22.56332,132.37978
Punritjanta,-24.67392,129.29393
Puta Puta,-25.07345,129.64045
Puyurru,-21.33117,130.81753
Rodna,-23.76213,132.67042
Santa Teresa,-24.1307,134.3733
Atnarara,-22.02622,134.78721
Arawerr,-22.01371,134.84618
Titjikala,-24.67389,134.07584
Tjamangkurra,-23.96890278,132.8052917
Tjulpungu,-21.83419,131.41348
Tjunti,-25.01763,129.40113
Tjuntinanta,-24.85187,129.23084
Wurdeja,-12.17056944,134.6608472
Alharrgan,-13.67507,136.05261
Alyingberrma,-13.80934,136.81691
Amanburnunga,-13.92641,136.69486
Amirraba,-13.90868,136.85787
Andanangki,-13.60962,135.76503
Angurugu,-13.98223611,136.4605694
Borogomarra,-12.24159,134.97834
Djarrakpi,-13.29691,136.35162
Djurranalpi,-11.84684,135.87292
Donydji,-12.89045,135.47028
Galawdjapin,-12.28695,134.81751
Gilirri,-12.33029,134.81695
Galiwinku,-12.0235,135.5664
Bayagida,-12.04269,134.92821
Engawala,-22.80257,134.45547
Eight Mile,-23.88699,132.68279
Ewyenper Atwatye,-23.70809722,133.8997361
Finke,-25.5821,134.5779
Gilbert Springs,-23.97177,132.48073
Warby,-16.1531,136.7344
Wollagalonng Outstation,-21.36721,133.439495
Parrulyu,-20.45276,130.90912
Haasts Bluff,-23.44733,131.88129
Atitjere,-22.9843,134.9341
Hermannsburg,-23.9427,132.7787
Green Valley,-23.15051,131.73817
Ilkarralalama,-23.96461,132.46504
Dons Bore,-22.26233,131.92027
New Ilparpa,-23.76576389,133.8706806
Ilperle-Tyathe,-23.6656,133.8611
Ilpili,-23.32393,130.36045
Ilyiperenye,-23.74381944,133.8707917
Imanpa,-25.13051,132.56999
Importna,-23.94048,132.74341
Ngangurr,-25.2236,129.9158
Ngunarra,-18.6408,135.9522
Moolooloo,-16.335589,131.515047
Ngurrutiji,-20.1167,134.5167
Kunoth,-23.69054015,133.8802575
Mangardubu,-12.0937,133.1864
Maningrida,-12.05084722,134.223625
Manmoyi,-12.54064,134.110013
Marrkolidjban,-12.23751389,134.0644583
Pandayal,-13.07478,130.55589
Tnawurta,-23.99890278,132.8383472
Tnyimipurta,-23.88779167,132.671125
Urlampe,-22.49317,137.74252
Ukaka,-24.59261,132.37395
Ukatjupu,-25.90949,129.10549
Ulpanyali,-24.23091,131.50075
Undurana 1C,-23.75723,132.12722
Arlparra,-22.08779,134.77476
Ankerrapw,-22.23004,134.56306
Wallace Rockhole,-24.1245,133.0863
Walytjatjata,-25.97667,129.46583
Wangkari,-25.13169,129.01933
Wanmarra,-24.388406,131.803467
Warren Creek,-23.26572,131.17868
Warumpi,-23.185099,131.975143
Wayililinypa,-22.50196,131.44669
Welere,-22.02194,135.19169
Welmala,-25.68278,133.26116
West Waterhouse,-23.99573,133.11339
Willowra,-21.24445833,132.6139028
Wilora,-21.7411,133.7311
Galupa,-12.1925,136.6892
Galaru,-12.16601,136.75732
Gumuruguru,-12.06001,134.76306
Gan Gan,-13.04605,135.94354
Ganpura,-11.885225,135.812353
Gapuwiyak,-12.50322,135.80587
Mooronga,-11.92119,135.0749
Balma,-13.24939,135.84857
Banthula,-11.83585,135.87365
Baniyala,-13.2004,136.2261
Bawaka,-12.53365,136.76402
Baygurrtji,-13.15787,135.86654
Birany Birany,-12.81703,136.47669
Bodia,-12.07688,134.89628
Bukudal,-12.966471,136.613529
Bularring,-12.04636,135.70342
Bundatharri,-12.23568,134.84672
Rorruwuy,-12.20292,136.29564
Burrum,-12.3094,135.9605
Darrangmurmanja,-13.72486,136.59277
Dhalinybuy,-12.4125,136.3878
Dhamiyaka,-12.65640278,135.8555694
Mewirnbi,-12.12529,134.76806
Mikginj Valley,-12.47966,133.07465
Milikapiti,-11.421667,130.67418
Minjilang,-11.1507,132.5786
Malgawa,-12.83887,133.91826
Hodgson River Station,-15.47477,134.09553
Jowar,-14.72747,134.42881
Kalkarindji,-17.44675,130.83212
Picininny Bore,-19.82711,129.78279
Walpiri,-14.473611,132.2693
Kybrook Farm,-13.86316,131.82196
Lajamanu,-18.335835,130.63834
Liku,-17.91141,130.50429
Lingara,-16.486944,130.64333
Lul-tju,-18.37671,130.59313
Maria Lagoon,-15.29989,135.44463
Marralum,-15.39109,129.25026
Mataranka Town Camp,-14.92618055,133.067375
Miali Brumby,-14.455833,132.2589
Amanbidji,-16.428055,129.6189
Minyerri,-15.2216,134.0821
Mistake Creek,-17.10927,129.04319
Mole Hill,-14.87499,133.83303
Momob,-13.35693,134.26915
Sabina,-13.8603,129.93195
Wulkabimirri,-12.35538,134.90591
Nguyarramini,-20.08713,134.38577
Punjarriji,-20.31062,134.50807
Bloodwood Bore,-25.76764,134.2883
Beer St Bore,-25.58297,134.52565
Halfway Camp,-25.69492,134.36263
Charlotte Waters,-25.91424,134.89274
Mcdonalds Yard,-17.78239,130.59211
Mallarrami,-11.77541,136.53563
Alice Well,-24.88123,134.22962
Irrmarne,-21.65405,136.39475
Bucket Springs,-15.740005,129.16465
Policemans Hole,-15.77853,129.106541
Mt Maiyo,-17.69491,129.39755
Irrerlirre,-22.8462,135.1345
Jangirulu,-18.12561,133.61111
Ulbulla,-25.68357,133.19644
Wunara,-19.9898,136.6181
Werre-Therre,-23.54265,133.63473
Ilperle,-22.92737,135.71575
Jomet (Urpalarwn),-15.42069,133.11146
Undoolya Bore,-23.74762,134.11762
Artekerre,-23.257387,133.766604
Dharrni,-13.74983,136.02005
Dhipirrinjura,-12.24806,135.09757
Dholtji,-11.94835,136.46161
Dhupuwamirri,-12.66796,135.39218
Rurrangala,-12.90425,136.25382
Humpty Doo,-12.63105,131.26078
Ararlagu,-11.52722,133.39848
Injilatparri,-11.611125,133.413625
Ji-Balbal,-12.29755,134.61989
Ji-Marda,-12.056125,134.6150139
Ndjudda,-11.98809,134.247725
Knuckey Lagoon Indigenous Village,-12.43654167,130.9374861
Kolorbidahdah,-12.61309,134.32539
Kulaluk,-12.39279167,130.8489028
Kultchill,-14.42586,129.57391
Mamadawerre,-12.25629,133.65782
Mandilbarreng,-12.27402,133.58456
Mankorlod,-12.56501,134.27067
Mount Catt,-13.80018,134.43241
Mumpumampu,-14.38418056,135.3283472
Duck Ponds,-18.77377,131.27766
Nulawan,-14.78729,134.93128
Ngukurr,-14.7317,134.7321
Nummerloori,-14.59159,134.97727
Parnta,-18.68438,130.65104
Pigeon Hole,-16.81412,131.22037
Pine Creek Compound,-13.81601,131.83106
Rittarangu,-14.71011,134.56526
Rockhole,-14.51935,132.18633
Jiwaranpa,-19.55541,129.92674
Mungurrupa,-20.58481,129.73313
Muruning,-15.67527,130.48457
Turkey Lagoon,-14.52938,134.75093
Wanmarri,-14.45401,135.22691
Weemol,-13.64418056,134.308625
Werenbun,-14.18255,132.1611
Yarralin,-16.44841,130.88279
Yinguwunarri,-16.60891,131.82362
Un-Marr,-14.06441,129.90879
Burt Creek,-23.196524,133.747591
Alkuptija,-23.06533,133.69436
Wooliana,-13.674833,130.64275
Nemarluk,-14.24122,130.00325
Merrepen,-14.22128,129.96735
Kuy,-14.03546,129.59784
Yederr,-14.01965,129.72201
Walkabout Bore,-24.38261,133.81687
Likkaparta,-19.34336,134.53799
Kiana,-17.242361,136.18411
Goolminyini,-16.15829,136.09751
Mimina,-16.80211,136.83428
Inkawenyerre,-21.82016,134.84707
Iylentye,-21.98676,134.72667
Camel Camp,-22.27181,134.55242
Atheley,-21.91757,134.86766
Pungalindum,-22.07061,134.68879
Ngappamilarnu,-19.86188,133.27846
